match_id,round_id,tick,killer_steamid,killer_name,victim_steamid,victim_name,weapon,headshot,x,y,z,assist,assist_player_name
match001,1,3066,76561199643239709,Pimiento Picante,76561198175180459,Kolle257,Glock-18,false,-1514.249,-111.160,132.031,true,TheDidacte
match001,1,3135,76561198059502594,TheDidacte,76561199127458988,Valerius,Glock-18,false,-1938.885,516.343,260.031,false,
match001,1,3457,76561198870364933,Dr_Risto,76561199028151244,KurtKnusper,P250,true,-912.432,-638.511,100.031,false,
match001,1,3599,76561199643239709,Pimiento Picante,76561199272285495,NedsTrex | FRUKTPEEK!,Glock-18,false,-1093.693,-610.631,100.031,true,Dr_Risto
match001,1,3843,76561198059502594,TheDidacte,76561199766385308,Tokugawa,Glock-18,true,-1157.457,-578.348,69.230,false,
match001,2,6772,76561198059502594,TheDidacte,76561199766385308,Tokugawa,AK-47,true,-2869.466,-1200.477,488.031,false,
match001,2,7291,76561198059502594,TheDidacte,76561199272285495,NedsTrex | FRUKTPEEK!,AK-47,false,-3159.254,-883.888,492.531,false,
match001,2,7602,76561199028151244,KurtKnusper,76561199643239709,Pimiento Picante,MP7,true,-2812.803,-1222.294,438.827,false,
match001,2,8034,76561198059502594,TheDidacte,76561198175180459,Kolle257,AK-47,false,-2338.516,-1269.047,436.146,true,Baron26
match001,2,9757,76561199028151244,KurtKnusper,76561198059502594,TheDidacte,MP7,false,-2906.292,610.501,484.031,true,Kolle257
match001,3,13401,76561198059502594,TheDidacte,76561199766385308,Tokugawa,AK-47,false,-2931.887,-1393.379,541.031,true,Pimiento Picante
match001,3,13588,76561198175180459,Kolle257,76561198812311227,anonymeTito,SSG 08,true,-3545.058,-2125.938,480.850,false,
match001,3,14128,76561198059502594,TheDidacte,76561199028151244,KurtKnusper,AK-47,false,-2289.817,-1327.271,436.031,false,
match001,3,14596,76561199643239709,Pimiento Picante,76561198175180459,Kolle257,SSG 08,false,-3667.600,-136.434,518.275,true,Dr_Risto
match001,3,15077,76561199127458988,Valerius,76561198988987546,Baron26,AK-47,true,-2210.493,-654.295,390.530,false,
match001,3,16309,76561199127458988,Valerius,76561199643239709,Pimiento Picante,AK-47,false,-3236.411,-329.414,522.781,true,NedsTrex | FRUKTPEEK!
match001,3,17786,76561198059502594,TheDidacte,76561199272285495,NedsTrex | FRUKTPEEK!,AK-47,true,-2578.183,804.109,476.531,true,Pimiento Picante
match001,4,21496,76561198988987546,Baron26,76561199028151244,KurtKnusper,AK-47,true,-1700.713,-1140.189,100.031,false,
match001,4,21659,76561198870364933,Dr_Risto,76561199272285495,NedsTrex | FRUKTPEEK!,AK-47,true,-1706.536,-825.560,100.031,false,
match001,4,22103,76561198059502594,TheDidacte,76561199127458988,Valerius,AK-47,false,-1825.717,748.368,132.031,false,
match001,4,22205,76561198175180459,Kolle257,76561198059502594,TheDidacte,M4A4,false,-1893.497,564.008,108.031,true,Valerius
match001,4,22431,76561199766385308,Tokugawa,76561198988987546,Baron26,M4A1,false,-1766.367,-1132.243,100.031,false,
match001,4,23090,76561198870364933,Dr_Risto,76561199766385308,Tokugawa,AK-47,true,-1161.049,-579.994,67.521,true,Baron26
match001,4,23327,76561198812311227,anonymeTito,76561198175180459,Kolle257,AK-47,true,-1869.737,104.292,132.031,true,TheDidacte
match001,5,26154,76561199028151244,KurtKnusper,76561198870364933,Dr_Risto,AWP,true,-3389.627,-2114.088,480.252,false,
match001,5,26669,76561199127458988,Valerius,76561198988987546,Baron26,MP9,true,-1834.325,-1554.656,100.031,false,
match001,5,27044,76561199272285495,NedsTrex | FRUKTPEEK!,76561198059502594,TheDidacte,AWP,false,-3169.681,-1042.562,531.305,true,Tokugawa
match001,5,27809,76561198812311227,anonymeTito,76561199766385308,Tokugawa,AK-47,false,-3256.172,-2276.808,474.579,false,
match001,5,28104,76561198175180459,Kolle257,76561198812311227,anonymeTito,M4A1,false,-2754.405,-1724.521,478.785,false,
match001,5,28499,76561199643239709,Pimiento Picante,76561199127458988,Valerius,AK-47,true,-1944.512,-1521.399,100.531,false,
