match_id,round_id,start_tick,end_tick,duration,winner,reason,alive_players
match001,1,68,3843,58.984,T,9,TheDidacte(76561198059502594);Dr_Risto(76561198870364933);Baron26(76561198988987546);anonymeTito(76561198812311227);Pimiento Picante(76561199643239709)
match001,2,4291,10556,97.891,T,1,Valerius(76561199127458988);KurtKnusper(76561199028151244)
match001,3,11004,18420,115.875,T,1,Valerius(76561199127458988)
match001,4,18868,23327,69.672,T,9,Pimiento Picante(76561199643239709);Dr_Risto(76561198870364933);anonymeTito(76561198812311227)
match001,5,23775,29940,96.328,CT,8,Kolle257(76561198175180459);KurtKnusper(76561199028151244)
match001,6,30388,34822,69.281,T,9,Pimiento Picante(76561199643239709)
match001,7,35270,41323,94.578,T,9,Dr_Risto(76561198870364933);TheDidacte(76561198059502594)
match001,8,41771,46450,73.109,T,9,Pimiento Picante(76561199643239709)
match001,9,46898,55007,126.703,T,1,Dr_Risto(76561198870364933);anonymeTito(76561198812311227)
match001,10,55455,60838,84.109,T,9,anonymeTito(76561198812311227);Pimiento Picante(76561199643239709);Dr_Risto(76561198870364933);TheDidacte(76561198059502594)
match001,11,61286,68793,117.297,T,1,TheDidacte(76561198059502594);Baron26(76561198988987546);Pimiento Picante(76561199643239709);anonymeTito(76561198812311227)
match001,12,69241,74626,84.141,T,9,Dr_Risto(76561198870364933);anonymeTito(76561198812311227)
match001,13,75170,81747,102.766,CT,8,Baron26(76561198988987546)
match001,14,82195,86479,66.938,CT,8,TheDidacte(76561198059502594);Baron26(76561198988987546)
